No.,質問日,該当資料,質問内容,ステータス,回答日,回答内容
11,2025/6/10,要求機能（2-6-2）,"「工事現場の写真を撮って送ることで住所情報を補完することができる」とありますが、具体的にはどういった機能になりますでしょうか？
画像情報から住所を検索の上、保管するようなものでしょうか？",完了,2025/6/11,"認識頂いている通りです。画像から位置情報を取得して、住所を補完したいと考えています。
本機能については優先度は低いです。
現場周辺地図のアップロード（住所情報から周辺の道路を確認して配車のサイズを検討しています）や
住所検索で地図情報を取得するもの（Google map）の方が優先したいです。"
12,2025/6/10,-,インフラにかかるランニングコストはどの程度を想定しておりますでしょうか？可能な限りで構いませんので、お答えいただけますと幸いです。,完了,2025/6/11,"現時点ではお金が取れるサービスではないのですが、もしお金を取るとしたらとして維持費を賄ってもらう形の規模感になるのではないかと考えております。
現在弊社の取引先数は最大で約3,000社となります。
多くの取引先で利用された場合、以下のような金額感のサービス（お金をとるとしたら）になったら良いと考えています。
一社あたり、800円～1500円程度が限界値になると考えています。
・3,000(社) * 800(円) = 2,400,000(円)
・3,000(社) * 1,500(円) = 4,500,000(円)
よって、2,400,000～4,500,000円（年額）くらいがインフラ維持費になると考えいます。"
13,2025/6/11,非機能要件（1-1）,ポータルサイトの非機能要件として、STEP1の段階で最低限担保したい同時接続数について、教えていただければ幸いです。,完了,2025/6/12,現時点で算出することは難しいと考えています。基本設計工程で決定したいです。
14,2025/6/11,非機能要件（4-2）,サーバーレスでのインフラ構築はどういった目的があるでしょうか？また、サーバーレスでのインフラ構築は必須要件でしょうか？,完了,2025/6/12,"必ずしもサーバレスである必要はありません。
機能拡張の容易さや、サーバ負荷の削減の観点があれば良いと考えています。
なお、より良い構成があればそちらをご提案頂ければと考えています。"
15,2025/6/11,非機能要件（4-3）,STEP1の段階でシャーディングの実施は必須要件でしょうか？,完了,2025/6/12,"基本設計の工程にて、判断させてください。
シャーディングを行わなければ、パフォーマンスが発揮されないのであれば必要と考えています。"
16,2025/6/11,非機能要件（4-5）,インフラに関して、開発環境・ステージング環境・本番環境の3環境は必ず用意する認識でお間違えないでしょうか？,完了,2025/6/12,"プロジェクト内で3環境の構築（開発、ステージング、本番）は必須と考えています。
ただし、作成する順序はご検討頂ければと考えています
（開発していた環境をステージング環境に昇格して、本番環境構築後に開発環境を作るなど、実施方法はあると考えています）。"
17,2025/6/11,非機能要件（5-3）,ペネトレーションテストの実施業者は桐井製作所様でお手配頂ける認識でしょうか？,完了,2025/6/12,もしお付き合いのある企業様があれば、ご紹介頂きたいと考えています。
18,2025/6/11,非機能要件（6-2）,"サポート体制について、平日9:30～18:00で考えておりますが問題ないでしょうか？
※夜間や休日の運用・保守人員は必ず必要でしょうか？",完了,2025/6/12,はい、問題ございません（夜間、休日の対応は翌営業日で良いと考えています）。
19,2025/6/11,-,戦略データ基盤をAWSで構築する前提とした場合、今後Azure、GCP等別インフラサービスと連携する可能性ございますでしょうか？,完了,2025/6/12,"Azure環境やCGP環境と連携する可能性はあると考えています。
なお、現在Tableauが接続しているデータベースはAzureのSQL Serverです。"
20,2025/6/11,-,計画停止（GW、年末年始等の長期休暇期間は停止）についてはどの程度予定されていますでしょうか？,完了,2025/6/12,現在、計画的な停止は考えておりません。365日稼働する想定でいます。
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
